,Oakland,Elmhurst
"B08134_044M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!15 to 19 minutes",297.2644376899696,90.26895078977202
"B08134_045M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!20 to 24 minutes",211.5501519756839,77.33277858797454
"B08134_046M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!25 to 29 minutes",120.9726443768997,45.3488921618438
"B08134_047M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!30 to 34 minutes",156.23100303951367,63.11072762672618
"B08134_048M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!35 to 44 minutes",122.18844984802432,51.467502707639454
"B08134_049M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!45 to 59 minutes",119.75683890577507,37.29571221927773
"B08134_050M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 2-person carpool:!!60 or more minutes",167.78115501519756,80.08642701701864
"B08134_051M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:",419.4528875379939,147.21918307422405
"B08134_052M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!Less than 10 minutes",43.76899696048632,25.912634025467614
"B08134_053M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!10 to 14 minutes",118.54103343465046,24.983249347154427
"B08134_054M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!15 to 19 minutes",110.03039513677811,35.04283779047377
"B08134_055M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!20 to 24 minutes",100.30395136778115,35.04811016510535
"B08134_056M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!25 to 29 minutes",78.419452887538,34.45795190460398
"B08134_057M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!30 to 34 minutes",180.54711246200608,84.82149451829824
"B08134_058M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!35 to 44 minutes",131.91489361702128,28.4872328604498
"B08134_059M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!45 to 59 minutes",96.65653495440729,32.79295795565028
"B08134_060M Standard Error For!!Car, truck, or van:!!Carpooled:!!In 3-or-more-person carpool:!!60 or more minutes",150.7598784194529,74.15416745034362
B08134_061M Standard Error For!!Public transportation (excluding taxicab):,694.224924012158,192.35967610272587
B08134_062M Standard Error For!!Public transportation (excluding taxicab):!!Less than 10 minutes,98.48024316109422,25.912634025467614
B08134_063M Standard Error For!!Public transportation (excluding taxicab):!!10 to 14 minutes,100.30395136778115,30.589047113456836
B08134_064M Standard Error For!!Public transportation (excluding taxicab):!!15 to 19 minutes,175.07598784194528,44.45593993624856
B08134_065M Standard Error For!!Public transportation (excluding taxicab):!!20 to 24 minutes,260.790273556231,76.08990106715974
B08134_066M Standard Error For!!Public transportation (excluding taxicab):!!25 to 29 minutes,151.3677811550152,45.53998978803171
B08134_067M Standard Error For!!Public transportation (excluding taxicab):!!30 to 34 minutes,411.5501519756839,84.11274049681627
B08134_068M Standard Error For!!Public transportation (excluding taxicab):!!35 to 44 minutes,284.4984802431611,89.87919551745273
B08134_069M Standard Error For!!Public transportation (excluding taxicab):!!45 to 59 minutes,307.5987841945289,60.130154499103895
B08134_070M Standard Error For!!Public transportation (excluding taxicab):!!60 or more minutes,421.27659574468083,102.91705340945424
B08134_071M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:,576.2917933130699,159.3285121445593
B08134_072M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!Less than 10 minutes,91.79331306990882,25.912634025467614
B08134_073M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!10 to 14 minutes,85.1063829787234,30.589047113456836
B08134_074M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!15 to 19 minutes,152.5835866261398,35.36823880313399
B08134_075M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!20 to 24 minutes,230.3951367781155,76.08990106715974
B08134_076M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!25 to 29 minutes,99.08814589665653,44.42267697615832
B08134_077M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!30 to 34 minutes,277.81155015197567,56.31227184010092
B08134_078M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!35 to 44 minutes,172.64437689969606,73.49843241489383
B08134_079M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!45 to 59 minutes,201.82370820668692,39.732850184481926
B08134_080M Standard Error For!!Public transportation (excluding taxicab):!!Bus or trolley bus:!!60 or more minutes,295.44072948328267,85.80908336469972
"B08134_081M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:",508.8145896656535,115.82421726388694
"B08134_082M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!Less than 10 minutes",29.78723404255319,25.912634025467614
"B08134_083M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!10 to 14 minutes",43.161094224924014,25.912634025467614
"B08134_084M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!15 to 19 minutes",97.2644376899696,36.31678305469628
"B08134_085M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!20 to 24 minutes",156.23100303951367,25.912634025467614
"B08134_086M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!25 to 29 minutes",141.03343465045592,25.912634025467614
"B08134_087M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!30 to 34 minutes",269.90881458966567,65.84178785460996
"B08134_088M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!35 to 44 minutes",209.72644376899694,56.54475844004127
"B08134_089M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!45 to 59 minutes",271.73252279635255,49.41617369702511
"B08134_090M Standard Error For!!Public transportation (excluding taxicab):!!Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:!!60 or more minutes",309.4224924012158,59.06362456652216
B08134_091M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:,127.05167173252279,36.47922963812157
B08134_092M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!Less than 10 minutes,31.003039513677813,25.912634025467614
B08134_093M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!10 to 14 minutes,5.47112462006079,25.912634025467614
B08134_094M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!15 to 19 minutes,4.25531914893617,25.912634025467614
B08134_095M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!20 to 24 minutes,17.02127659574468,25.912634025467614
B08134_096M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!25 to 29 minutes,21.27659574468085,27.784546825596202
B08134_097M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!30 to 34 minutes,20.66869300911854,25.912634025467614
B08134_098M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!35 to 44 minutes,32.21884498480243,25.912634025467614
B08134_099M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!45 to 59 minutes,47.41641337386018,25.912634025467614
B08134_100M Standard Error For!!Public transportation (excluding taxicab):!!Railroad or ferryboat:!!60 or more minutes,90.5775075987842,35.074460150156
B08134_101M Standard Error For!!Walked:,429.1793313069909,46.59882771242991
B08134_102M Standard Error For!!Walked:!!Less than 10 minutes,248.6322188449848,29.812036073530034
B08134_103M Standard Error For!!Walked:!!10 to 14 minutes,198.17629179331306,27.328591845579357
B08134_104M Standard Error For!!Walked:!!15 to 19 minutes,166.56534954407294,29.90486048935889
B08134_105M Standard Error For!!Walked:!!20 to 24 minutes,141.64133738601822,26.449009018610443
B08134_106M Standard Error For!!Walked:!!25 to 29 minutes,79.0273556231003,25.912634025467614
B08134_107M Standard Error For!!Walked:!!30 to 34 minutes,114.8936170212766,25.912634025467614
B08134_108M Standard Error For!!Walked:!!35 to 44 minutes,31.61094224924012,30.328193758702543
B08134_109M Standard Error For!!Walked:!!45 to 59 minutes,29.78723404255319,25.912634025467614
B08134_110M Standard Error For!!Walked:!!60 or more minutes,44.984802431610944,25.912634025467614
"B08134_111M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:",416.4133738601824,95.58388582160724
"B08134_112M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!Less than 10 minutes",117.93313069908814,25.912634025467614
"B08134_113M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!10 to 14 minutes",181.7629179331307,37.419363882097
"B08134_114M Standard Error For!!Taxicab, motorcycle, bicycle, or other means:!!15 to 19 minutes",126.44376899696049,45.11604939885586
