,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06001437800,1436.0,0.0,117.0,240.0,752.0,245.0,82.0,ala
06001437900,735.0,43.0,150.0,233.0,298.0,11.0,0.0,ala
06001438000,1134.0,0.0,56.0,256.0,650.0,152.0,20.0,ala
06001438100,2189.0,47.0,68.0,255.0,1401.0,364.0,54.0,ala
06001438201,1283.0,0.0,24.0,261.0,905.0,93.0,0.0,ala
06001438203,1328.0,0.0,40.0,394.0,504.0,350.0,40.0,ala
06001438204,1951.0,17.0,104.0,872.0,815.0,121.0,22.0,ala
06001438300,965.0,14.0,49.0,72.0,750.0,56.0,24.0,ala
06001438400,762.0,20.0,26.0,76.0,418.0,198.0,24.0,ala
06001440100,806.0,16.0,70.0,372.0,160.0,121.0,67.0,ala
06001440200,1514.0,10.0,51.0,554.0,631.0,238.0,30.0,ala
06001440301,2272.0,0.0,196.0,402.0,1054.0,488.0,132.0,ala
06001440304,1426.0,10.0,111.0,323.0,499.0,425.0,58.0,ala
06001440305,1079.0,14.0,0.0,60.0,376.0,560.0,69.0,ala
06001440306,1102.0,7.0,47.0,289.0,480.0,225.0,54.0,ala
06001440307,1698.0,51.0,71.0,755.0,561.0,239.0,21.0,ala
06001440308,2109.0,91.0,496.0,233.0,731.0,466.0,92.0,ala
06001440331,967.0,7.0,71.0,380.0,246.0,228.0,35.0,ala
06001440332,925.0,0.0,32.0,27.0,191.0,458.0,217.0,ala
06001440333,891.0,0.0,9.0,101.0,332.0,344.0,105.0,ala
06001440334,1149.0,0.0,21.0,174.0,469.0,457.0,28.0,ala
06001440335,1773.0,61.0,158.0,265.0,404.0,629.0,256.0,ala
06001440336,1566.0,0.0,119.0,607.0,571.0,269.0,0.0,ala
06001441100,1708.0,66.0,68.0,283.0,730.0,390.0,171.0,ala
06001441200,2619.0,14.0,626.0,483.0,819.0,561.0,116.0,ala
06001441301,1220.0,19.0,292.0,381.0,146.0,320.0,62.0,ala
06001441302,1892.0,10.0,212.0,136.0,717.0,790.0,27.0,ala
06001441401,2437.0,0.0,405.0,519.0,877.0,560.0,76.0,ala
06001441402,1753.0,0.0,75.0,286.0,517.0,800.0,75.0,ala
06001441501,1779.0,0.0,55.0,124.0,612.0,887.0,101.0,ala
06001441503,1574.0,0.0,104.0,440.0,544.0,464.0,22.0,ala
06001441521,1870.0,13.0,9.0,170.0,754.0,899.0,25.0,ala
06001441522,1502.0,17.0,0.0,200.0,573.0,629.0,83.0,ala
06001441523,1434.0,0.0,107.0,811.0,368.0,148.0,0.0,ala
06001441524,1374.0,83.0,86.0,477.0,377.0,340.0,11.0,ala
06001441601,1478.0,0.0,9.0,128.0,924.0,382.0,35.0,ala
06001441602,2338.0,0.0,547.0,375.0,1078.0,318.0,20.0,ala
06001441700,2779.0,51.0,434.0,1303.0,781.0,190.0,20.0,ala
06001441800,2437.0,0.0,406.0,899.0,673.0,447.0,12.0,ala
06001441921,1318.0,0.0,197.0,428.0,480.0,176.0,37.0,ala
06001441923,2276.0,101.0,1042.0,1028.0,71.0,22.0,12.0,ala
06001441924,2658.0,0.0,427.0,1061.0,643.0,478.0,49.0,ala
06001441925,2917.0,19.0,1226.0,1628.0,44.0,0.0,0.0,ala
06001441926,1517.0,137.0,321.0,693.0,279.0,87.0,0.0,ala
06001441927,1808.0,31.0,664.0,767.0,346.0,0.0,0.0,ala
06001442000,1051.0,0.0,7.0,42.0,294.0,472.0,236.0,ala
06001442100,1720.0,0.0,75.0,253.0,517.0,687.0,188.0,ala
06001442200,2208.0,0.0,36.0,189.0,1000.0,784.0,199.0,ala
06001442301,1477.0,13.0,263.0,224.0,837.0,74.0,66.0,ala
06001442302,1816.0,13.0,472.0,727.0,508.0,96.0,0.0,ala
06001442400,1929.0,0.0,205.0,196.0,960.0,547.0,21.0,ala
06001442500,2264.0,13.0,313.0,381.0,1076.0,378.0,103.0,ala
06001442601,1288.0,0.0,81.0,62.0,863.0,237.0,45.0,ala
06001442602,1762.0,0.0,294.0,431.0,633.0,373.0,31.0,ala
06001442700,1103.0,0.0,77.0,284.0,514.0,228.0,0.0,ala
06001442800,970.0,0.0,0.0,285.0,466.0,205.0,14.0,ala
06001442900,2392.0,0.0,162.0,483.0,849.0,775.0,123.0,ala
06001443001,851.0,0.0,8.0,30.0,666.0,140.0,7.0,ala
06001443002,1816.0,0.0,21.0,454.0,1026.0,286.0,29.0,ala
06001443102,1496.0,0.0,0.0,32.0,368.0,854.0,242.0,ala
06001443103,1198.0,0.0,0.0,36.0,81.0,596.0,485.0,ala
06001443104,1772.0,0.0,119.0,295.0,637.0,595.0,126.0,ala
06001443105,1460.0,53.0,0.0,83.0,376.0,757.0,191.0,ala
06001443200,1210.0,0.0,0.0,0.0,187.0,593.0,430.0,ala
06001443301,1266.0,0.0,0.0,58.0,415.0,736.0,57.0,ala
06001443321,1301.0,0.0,112.0,775.0,358.0,24.0,32.0,ala
06001443322,959.0,0.0,0.0,105.0,537.0,239.0,78.0,ala
06001444100,2567.0,10.0,191.0,77.0,1081.0,1051.0,157.0,ala
06001444200,1988.0,12.0,44.0,371.0,1089.0,407.0,65.0,ala
06001444301,1185.0,0.0,99.0,151.0,444.0,433.0,58.0,ala
06001444302,1288.0,0.0,65.0,557.0,284.0,296.0,86.0,ala
06001444400,1503.0,0.0,72.0,512.0,735.0,157.0,27.0,ala
06001444500,2041.0,21.0,299.0,581.0,663.0,391.0,86.0,ala
06001444601,1492.0,0.0,17.0,21.0,806.0,610.0,38.0,ala
06001444602,1594.0,13.0,196.0,657.0,523.0,205.0,0.0,ala
06001450101,1510.0,9.0,467.0,501.0,314.0,172.0,47.0,ala
06001450102,1201.0,0.0,174.0,199.0,290.0,392.0,146.0,ala
06001450200,2291.0,42.0,577.0,993.0,486.0,174.0,19.0,ala
06001450300,1535.0,0.0,114.0,115.0,722.0,519.0,65.0,ala
06001450400,1933.0,0.0,95.0,223.0,1013.0,579.0,23.0,ala
06001450501,1189.0,0.0,78.0,337.0,319.0,352.0,103.0,ala
06001450502,1413.0,0.0,0.0,75.0,473.0,643.0,222.0,ala
06001450601,1278.0,0.0,138.0,168.0,339.0,436.0,197.0,ala
06001450602,3323.0,48.0,365.0,866.0,782.0,790.0,472.0,ala
06001450603,1440.0,0.0,7.0,31.0,632.0,753.0,17.0,ala
06001450604,1606.0,0.0,134.0,120.0,346.0,884.0,122.0,ala
06001450605,1333.0,20.0,56.0,180.0,549.0,454.0,74.0,ala
06001450606,1847.0,19.0,10.0,198.0,449.0,940.0,231.0,ala
06001450607,2020.0,92.0,571.0,780.0,302.0,214.0,61.0,ala
06001450701,2459.0,0.0,55.0,206.0,386.0,1238.0,574.0,ala
06001450741,1699.0,19.0,192.0,386.0,682.0,337.0,83.0,ala
06001450742,1713.0,10.0,76.0,615.0,380.0,555.0,77.0,ala
06001450743,2287.0,0.0,641.0,946.0,525.0,158.0,17.0,ala
06001450744,1461.0,0.0,8.0,117.0,477.0,780.0,79.0,ala
06001450745,1685.0,12.0,88.0,328.0,677.0,489.0,91.0,ala
06001450746,1126.0,0.0,85.0,214.0,518.0,287.0,22.0,ala
06001450750,1313.0,0.0,290.0,713.0,310.0,0.0,0.0,ala
06001450751,501.0,13.0,0.0,9.0,173.0,159.0,147.0,ala
06001450752,1436.0,22.0,9.0,201.0,252.0,362.0,590.0,ala
06001451101,2408.0,19.0,166.0,266.0,928.0,827.0,202.0,ala
