,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06013313102,1901.0,97.0
06013313103,3014.0,203.0
06013313201,3063.0,175.0
06013313202,4031.0,268.0
06013314102,2417.0,258.0
06013314103,2323.0,247.0
06013314104,2630.0,244.0
06013314200,2354.0,110.0
06013315000,1782.0,173.0
06013316000,404.0,48.0
06013317000,1155.0,98.0
06013318000,1824.0,63.0
06013319000,3976.0,210.0
06013320001,1496.0,38.0
06013320002,4733.0,315.0
06013321101,3203.0,197.0
06013321102,3812.0,415.0
06013321103,2583.0,132.0
06013321200,3009.0,287.0
06013322000,3224.0,265.0
06013323000,2163.0,195.0
06013324000,5208.0,1201.0
06013325000,2782.0,359.0
06013326000,1616.0,164.0
06013327000,3079.0,98.0
06013328000,710.0,103.0
06013329000,3338.0,286.0
06013330000,2915.0,216.0
06013331000,3513.0,397.0
06013332000,3685.0,295.0
06013333100,3976.0,220.0
06013333200,2900.0,188.0
06013334001,1847.0,129.0
06013334003,2030.0,308.0
06013334004,3934.0,499.0
06013334005,737.0,29.0
06013335000,1625.0,185.0
06013336101,2197.0,298.0
06013336102,3187.0,455.0
06013336200,3813.0,386.0
06013337100,1594.0,109.0
06013337200,3502.0,363.0
06013337300,2983.0,343.0
06013338100,4069.0,479.0
06013338201,1865.0,244.0
06013338202,6019.0,1168.0
06013338301,1272.0,177.0
06013338302,2605.0,389.0
06013339000,5320.0,880.0
06013340001,3072.0,363.0
06013340002,3891.0,490.0
06013341000,2684.0,285.0
06013342000,2458.0,247.0
06013343001,2631.0,294.0
06013343002,2046.0,224.0
06013343003,2033.0,98.0
06013344000,532.0,18.0
06013345101,3430.0,191.0
06013345102,2444.0,82.0
06013345103,2625.0,152.0
06013345105,3107.0,146.0
06013345107,5408.0,219.0
06013345108,4104.0,245.0
06013345109,4630.0,214.0
06013345110,3831.0,168.0
06013345201,5039.0,192.0
06013345202,3920.0,174.0
06013346101,1681.0,194.0
06013346102,2310.0,141.0
06013346201,3098.0,118.0
06013346202,5225.0,347.0
06013347000,3163.0,292.0
06013348000,1969.0,274.0
06013349000,2372.0,288.0
06013350000,2896.0,511.0
06013351100,882.0,42.0
06013351200,2762.0,243.0
06013352101,1648.0,108.0
06013352102,2174.0,317.0
06013352201,2611.0,374.0
06013352202,967.0,102.0
06013353001,1764.0,280.0
06013353002,1789.0,207.0
06013354001,936.0,189.0
06013354002,2763.0,389.0
06013355101,7417.0,421.0
06013355104,7772.0,316.0
06013355106,5194.0,420.0
06013355200,2006.0,290.0
06013355301,3170.0,315.0
06013355302,1601.0,299.0
06013355303,535.0,57.0
06013355304,4239.0,446.0
06013355305,2036.0,85.0
06013356001,2093.0,81.0
06013356002,3512.0,184.0
06013357000,1687.0,29.0
06013358000,2229.0,95.0
06013359101,4675.0,353.0
06013359102,2383.0,140.0
06013359202,3249.0,236.0
06013359203,2988.0,260.0
06013359204,2453.0,179.0
06013360100,4426.0,370.0
06013360200,2341.0,126.0
06013361000,2017.0,157.0
06013362000,1448.0,149.0
06013363000,3336.0,222.0
06013364001,1958.0,112.0
06013364002,2522.0,167.0
06013365001,2557.0,409.0
06013365002,1184.0,90.0
06013366001,1837.0,166.0
06013366002,2115.0,354.0
06013367100,2309.0,277.0
06013367200,1487.0,137.0
06013368000,2705.0,210.0
06013369001,2388.0,260.0
06013369002,1441.0,88.0
06013370000,1419.0,187.0
06013371000,2566.0,364.0
06013372000,2832.0,303.0
06013373000,1421.0,182.0
06013374000,1806.0,210.0
06013375000,1371.0,247.0
06013376000,1849.0,287.0
06013377000,2617.0,614.0
06013378000,1852.0,172.0
06013379000,1797.0,291.0
06013380000,3246.0,605.0
06013381000,2111.0,275.0
06013382000,2870.0,540.0
06013383000,2561.0,453.0
06013384000,1849.0,285.0
06013385100,1196.0,163.0
06013385200,665.0,133.0
06013386000,1787.0,355.0
06013387000,1123.0,221.0
06013388000,1352.0,349.0
06013389100,1061.0,341.0
06013389200,898.0,275.0
06013390100,1205.0,182.0
06013390200,854.0,156.0
06013391000,1311.0,172.0
06013392000,1185.0,239.0
06015000101,1193.0,10.0
06015000102,1172.0,28.0
06015000103,3224.0,67.0
06015000201,1413.0,10.0
06015000202,1415.0,0.0
06015000203,427.0,0.0
06017030101,150.0,0.0
06017030102,1912.0,115.0
06017030200,2304.0,136.0
06017030300,2958.0,171.0
06017030401,2203.0,67.0
06017030402,2028.0,83.0
06017030501,3209.0,27.0
06017030502,1795.0,7.0
06017030503,665.0,0.0
06017030601,2151.0,12.0
06017030602,2362.0,11.0
06017030603,1186.0,8.0
06017030701,2475.0,16.0
06017030702,2768.0,19.0
06017030703,3386.0,74.0
06017030704,934.0,19.0
06017030801,1752.0,82.0
06017030803,2704.0,50.0
06017030804,2668.0,26.0
06017030805,4482.0,68.0
06017030806,2512.0,27.0
06017030901,1321.0,35.0
06017030902,2035.0,30.0
06017031000,2495.0,27.0
06017031100,2266.0,36.0
06017031200,2048.0,20.0
06017031301,1481.0,7.0
06017031302,1844.0,0.0
06017031402,2121.0,34.0
06017031403,58.0,0.0
06017031404,1164.0,14.0
06017031405,1121.0,10.0
