,P052001 Total: Households,"P052002 Total:  Less than $10,000"
06001444200,1918.0,39.0
06001444300,2318.0,41.0
06001444400,1463.0,54.0
06001444500,1850.0,40.0
06001444600,2962.0,115.0
06001450100,952.0,5.0
06001450200,2201.0,28.0
06001450300,1538.0,31.0
06001450400,1928.0,42.0
06001450500,2643.0,16.0
06001450601,1182.0,0.0
06001450602,2918.0,25.0
06001450603,1504.0,10.0
06001450604,1686.0,16.0
06001450605,1380.0,25.0
06001450606,1960.0,5.0
06001450607,1675.0,82.0
06001450701,2017.0,34.0
06001450703,2804.0,73.0
06001450721,156.0,0.0
06001450722,3571.0,54.0
06001450741,1741.0,84.0
06001450742,1730.0,50.0
06001451101,1599.0,45.0
06001451102,785.0,4.0
06001451201,2488.0,71.0
06001451202,1099.0,41.0
06001451300,2353.0,66.0
06001451401,2095.0,110.0
06001451402,2839.0,119.0
06001451501,1220.0,76.0
06001451502,2739.0,61.0
06001451503,2127.0,109.0
06001451601,1411.0,37.0
06001451602,2321.0,43.0
06001451701,1065.0,30.0
06001451702,2741.0,35.0
06003010000,492.0,61.0
06005000100,2663.0,126.0
06005000200,1863.0,157.0
06005000301,550.0,40.0
06005000302,2687.0,172.0
06005000401,1929.0,193.0
06005000402,1871.0,174.0
06005000500,1178.0,86.0
06007000101,2613.0,196.0
06007000102,1532.0,103.0
06007000201,1567.0,108.0
06007000202,1641.0,164.0
06007000300,1720.0,306.0
06007000400,2743.0,177.0
06007000501,1385.0,171.0
06007000502,1799.0,527.0
06007000601,1112.0,43.0
06007000603,999.0,232.0
06007000604,1654.0,568.0
06007000700,2289.0,317.0
06007000800,2108.0,132.0
06007000900,4564.0,423.0
06007001000,2114.0,606.0
06007001100,1609.0,407.0
06007001200,1381.0,223.0
06007001300,1422.0,282.0
06007001400,1872.0,57.0
06007001500,1815.0,127.0
06007001600,1627.0,135.0
06007001701,2283.0,242.0
06007001702,2263.0,160.0
06007001800,2412.0,239.0
06007001900,1461.0,164.0
06007002000,2236.0,219.0
06007002100,2126.0,295.0
06007002200,2256.0,299.0
06007002300,2149.0,209.0
06007002400,2051.0,262.0
06007002500,1262.0,282.0
06007002600,2399.0,145.0
06007002700,2026.0,226.0
06007002800,1850.0,459.0
06007002900,2349.0,365.0
06007003000,2176.0,412.0
06007003100,1501.0,69.0
06007003200,1332.0,206.0
06007003300,1455.0,175.0
06007003400,1047.0,119.0
06007003500,2310.0,279.0
06007003600,1164.0,88.0
06009000110,3212.0,380.0
06009000120,1203.0,80.0
06009000210,2783.0,212.0
06009000220,1528.0,84.0
06009000300,2787.0,361.0
06009000400,1845.0,245.0
06009000500,3091.0,231.0
06011000100,1349.0,101.0
06011000200,1564.0,184.0
06011000300,1253.0,125.0
06011000400,926.0,105.0
06011000500,989.0,118.0
06013301000,1545.0,112.0
06013302002,2584.0,166.0
06013302003,3175.0,105.0
06013302004,3213.0,52.0
06013303100,2464.0,122.0
06013303200,7134.0,206.0
06013304000,3956.0,90.0
06013305000,2267.0,240.0
06013306001,2966.0,193.0
06013306002,1105.0,73.0
06013307101,1521.0,101.0
06013307102,1714.0,153.0
06013307201,928.0,100.0
06013307202,1495.0,142.0
06013307204,1371.0,45.0
06013307205,2709.0,270.0
06013308001,2499.0,125.0
06013308002,1203.0,23.0
06013309000,978.0,39.0
06013310000,1277.0,121.0
06013311000,1414.0,40.0
06013312000,801.0,111.0
06013313101,2574.0,369.0
06013313102,1316.0,96.0
06013313103,2073.0,52.0
06013313201,2173.0,193.0
06013313202,2775.0,180.0
06013314102,1635.0,107.0
06013314103,1591.0,145.0
06013314104,2355.0,319.0
06013314200,1749.0,157.0
06013315000,1195.0,30.0
06013316000,489.0,88.0
06013317000,1003.0,113.0
06013318000,1610.0,115.0
06013319000,3032.0,139.0
06013320001,1143.0,62.0
06013320002,3312.0,154.0
06013321101,2457.0,54.0
06013321102,2719.0,50.0
06013321103,1849.0,76.0
06013321200,2295.0,204.0
06013322000,2501.0,20.0
06013323000,1720.0,64.0
06013324000,4767.0,458.0
06013325000,2062.0,30.0
06013326000,1275.0,33.0
06013327000,2812.0,222.0
06013328000,950.0,200.0
06013329000,2361.0,79.0
06013330000,1960.0,93.0
06013331000,2607.0,134.0
06013332000,2774.0,88.0
06013333100,2874.0,86.0
06013333200,2230.0,44.0
06013334001,1426.0,137.0
06013334003,1285.0,36.0
06013334004,2957.0,196.0
06013334005,470.0,0.0
06013335000,1249.0,44.0
06013336101,1599.0,155.0
06013336102,2594.0,279.0
06013336200,2750.0,231.0
06013337100,1116.0,27.0
06013337200,3030.0,174.0
06013337300,2243.0,38.0
06013338100,2969.0,212.0
